;Ano;Turno;Localidade;Cargo;Nº;Candidato;Nome Urna;Partido / Coligação;Votação;Situação
;2016;1º Turno;ALAGOA GRANDE;Vereador;55222;ANTONIO VALERIO;PASTOR VALÉRIO;PSD / MUDANÇA E TRABALHO;57;Suplente
;2016;1º Turno;ALAGOA GRANDE;Vereador;11222;NEUSA JOSE DE MESSIAS;NEUSA;PP / PSB/PSL/PPS/PP/PEN/PMB/SD;56;Suplente
;2016;1º Turno;ALAGOA GRANDE;Vereador;55678;ANTONIO DOS SANTOS SILVA;MARRON;PSD / MUDANÇA E TRABALHO;54;Suplente
;2016;1º Turno;ALAGOA GRANDE;Vereador;22000;IVONETE TEIXEIRA DE SOUSA;IVONETE TEIXEIRA;PR / ALAGOA GRANDE UNIDA II;43;Suplente
;2016;1º Turno;ALAGOA GRANDE;Vereador;22777;GEOVA DAMIÃO COUTINHO;GEOVÁ DO LAVA-;PR / ALAGOA GRANDE UNIDA II;41;Suplente
;2016;1º Turno;ALAGOA GRANDE;Vereador;22789;ERINALDO ONOFRE DE ARAÚJO;NAL BARRIGA;PR / ALAGOA GRANDE UNIDA II;38;Suplente
;2016;1º Turno;ALAGOA GRANDE;Vereador;31111;RAFAEL DE LIMA RODRIGUES;PROFESSOR RAFAEL;PHS / ALAGOA GRANDE UNIDA II;35;Suplente
;2016;1º Turno;ALAGOA GRANDE;Vereador;31444;SÍLVIA XAVIER BARBOSA;SÍLVIA XAVIER;PHS / ALAGOA GRANDE UNIDA II;29;Suplente
;2016;1º Turno;ALAGOA GRANDE;Vereador;22111;MARIA APARECIDA DE OLIVEIRA;CIDA;PR / ALAGOA GRANDE UNIDA II;28;Suplente
;2016;1º Turno;ALAGOA GRANDE;Vereador;40333;DAYANA LEITE DA SILVA;DAYANA LEITE;PSB / PSB/PSL/PPS/PP/PEN/PMB/SD;23;Suplente
;2016;1º Turno;ALAGOA GRANDE;Vereador;40888;PAULA ANGELA COSTA DE;PAULA ANGELA;PSB / PSB/PSL/PPS/PP/PEN/PMB/SD;20;Suplente
;2016;1º Turno;ALAGOA GRANDE;Vereador;17999;MARIA DAS DORES DE ARAUJO;DORA;PSL / PSB/PSL/PPS/PP/PEN/PMB/SD;19;Suplente
;2016;1º Turno;ALAGOA GRANDE;Vereador;13555;LUZIA SOARES FERREIRA;LUZIA SOARES;PT / ALAGOA GRANDE UNIDA II;13;Suplente
