COD_MUNICIPIO_TSE;UF;MUNICIPIO;ELEITORADO APTO;FEMININO;MASCULINO;NÃO INFORMADO;16 ANOS;17 ANOS;18 A 20 ANOS;21 A 24 ANOS;25 A 34 ANOS;35 A 44 ANOS;45 A 59 ANOS;60 A 69 ANOS;70 A 79 ANOS;SUPERIOR A 79 ANOS;INVÁLIDA
86843;RS;ITAPUCA;1859;894;965;0;30;37;109;164;327;286;525;205;124;52;0
87130;RS;ITAQUI;28089;14470;13619;0;99;277;1610;2523;5754;5193;7121;3116;1568;827;1
89249;RS;ITATI;2580;1236;1344;0;24;44;127;197;482;399;735;325;191;56;0
87157;RS;ITATIBA DO SUL;3702;1735;1967;0;54;60;196;301;668;498;1011;513;288;113;0
85626;RS;IVORÁ;1870;909;961;0;13;19;85;142;331;271;462;305;175;67;0
87173;RS;IVOTI;16116;8306;7810;0;42;115;806;1190;3490;3289;4490;1660;740;294;0
84786;RS;JABOTICABA;3013;1512;1501;0;36;44;185;201;448;471;831;471;230;96;0
89265;RS;JACUIZINHO;1985;946;1039;0;29;34;110;146;356;360;491;285;110;64;0
87190;RS;JACUTINGA;2948;1508;1440;0;13;30;139;246;490;404;822;459;252;93;0
87211;RS;JAGUARÃO;22616;11902;10714;0;32;96;881;1667;4209;3910;5786;2895;1865;1275;0
87238;RS;JAGUARI;10128;5141;4987;0;26;63;431;772;1844;1600;2655;1309;915;513;0
84905;RS;JAQUIRANA;3207;1574;1633;0;31;51;193;238;531;525;914;457;207;60;0
88587;RS;JARI;2914;1383;1531;0;26;21;142;215;499;534;764;425;208;80;0
98299;RS;JÓIA;5963;2879;3084;0;48;97;350;457;1030;1094;1721;755;341;70;0
87254;RS;JÚLIO DE CASTILHOS;16499;8511;7988;0;80;166;862;1328;3347;2769;4057;2078;1124;688;0
89281;RS;LAGOA BONITA DO SUL;2224;1047;1177;0;31;43;117;168;419;405;600;247;144;50;0
86886;RS;LAGOA DOS TRÊS CANTOS;1552;781;771;0;19;14;63;98;297;237;397;231;144;52;0
87270;RS;LAGOA VERMELHA;21624;11210;10414;0;72;190;1174;1778;4098;3680;5497;2686;1604;845;0
85260;RS;LAGOÃO;5141;2439;2702;0;83;90;298;424;932;947;1290;563;321;193;0
87297;RS;LAJEADO;58054;30990;27064;0;145;343;2659;4568;13081;11606;14805;6228;3041;1578;0
86860;RS;LAJEADO DO BUGRE;1765;866;899;0;39;40;124;132;310;303;472;230;92;23;0
87319;RS;LAVRAS DO SUL;5137;2710;2427;0;22;63;280;349;836;845;1489;686;426;141;0
87335;RS;LIBERATO SALZANO;4323;2132;2191;0;41;77;240;309;776;675;1252;633;248;72;0
86908;RS;LINDOLFO COLLOR;4146;2065;2081;0;26;53;240;346;925;936;1074;357;150;39;0
86924;RS;LINHA NOVA;1384;661;723;0;7;17;55;86;232;250;389;220;115;13;0
88447;RS;MAÇAMBARÁ;3704;1798;1906;0;32;50;212;287;657;721;1022;469;201;53;0
87351;RS;MACHADINHO;4856;2387;2469;0;81;85;252;361;931;823;1167;672;340;143;1
88943;RS;MAMPITUBA;2636;1282;1354;0;24;39;153;216;551;471;710;313;128;31;0
86940;RS;MANOEL VIANA;5199;2647;2552;0;33;85;298;363;877;875;1493;683;380;112;0
86967;RS;MAQUINÉ;5417;2666;2751;0;45;74;291;408;904;867;1504;758;412;154;0
86983;RS;MARATÁ;2169;1054;1115;0;20;35;122;166;353;357;605;302;158;51;0
87378;RS;MARAU;30002;15372;14630;0;143;282;1538;2392;6617;5987;7486;3212;1598;747;0
87394;RS;MARCELINO RAMOS;3742;1847;1895;0;34;51;214;250;566;577;1053;590;327;80;0
87009;RS;MARIANA PIMENTEL;3424;1630;1794;0;27;40;157;249;619;571;931;549;235;46;0
87416;RS;MARIANO MORO;2047;1000;1047;0;28;28;105;143;328;314;579;290;149;83;0
88820;RS;MARQUES DE SOUZA;3413;1717;1696;0;15;24;141;214;557;507;851;608;345;151;0
87432;RS;MATA;4016;1978;2038;0;37;58;193;278;639;700;1045;558;366;142;0
87025;RS;MATO CASTELHANO;2552;1213;1339;0;30;45;144;200;476;470;669;339;155;24;0
87041;RS;MATO LEITÃO;3536;1774;1762;0;27;34;185;257;670;678;932;435;244;74;0
89303;RS;MATO QUEIMADO;1555;774;781;0;18;26;80;90;238;251;411;240;160;41;0
