UF;Município;Limite de Gasto Prefeito 1º Turno;Limite de Gasto Prefeito 2º Turno;Limite de Gasto Vereador;Limite Contratação Prefeito;Limite Contratação Vereador;Eleitorado Apto 
MG;LUISLÂNDIA;180608,42;-;10803,91;62;31;6236 
MG;LUMINÁRIAS;108039,06;-;10803,91;44;22;4413 
MG;LUZ;108039,06;-;10803,91;148;74;14815 
MG;MACHACALIS;108039,06;-;10803,91;59;30;5901 
MG;MACHADO;277227,17;-;16397,23;295;148;29481 
MG;MADRE DE DEUS DE MINAS;108039,06;-;10803,91;41;21;4068 
MG;MALACACHETA;330062,58;-;10803,91;157;79;15689 
MG;MAMONAS;108039,06;-;10803,91;58;29;5758 
MG;MANGA;259563,57;-;10803,91;163;82;16333 
MG;MANHUAÇU;701752,58;-;27013,08;326;163;56091 
MG;MANHUMIRIM;108039,06;-;26010,74;166;83;16604 
MG;MANTENA;144372,52;-;10803,91;196;98;19611 
MG;MAR DE ESPANHA;108039,06;-;10803,91;94;47;9439 
MG;MARAVILHAS;108039,06;-;10803,91;61;31;6130 
MG;MARIA DA FÉ;108039,06;-;10803,91;124;62;12369 
MG;MARIANA;483863,27;-;69236,35;317;159;46560 
MG;MARILAC;108039,06;-;10803,91;42;21;4158 
MG;MÁRIO CAMPOS;108039,06;-;17284,16;112;56;11206 
MG;MARIPÁ DE MINAS;108039,06;-;10803,91;30;15;3024 
MG;MARLIÉRIA;190065,76;-;10803,91;42;21;4223 
MG;MARMELÓPOLIS;108039,06;-;10803,91;28;14;2791 
MG;MARTINHO CAMPOS;108039,06;-;10803,91;113;57;11292 
MG;MARTINS SOARES;108039,06;-;10803,91;69;35;6875 
MG;MATA VERDE;108039,06;-;10803,91;62;31;6232 
MG;MATERLÂNDIA;108039,06;-;10803,91;46;23;4559 
MG;MATEUS LEME;108039,06;-;10803,91;234;117;23368 
MG;MATHIAS LOBATO;108039,06;-;10803,91;31;16;3125 
MG;MATIAS BARBOSA;108039,06;-;10803,91;115;58;11536 
MG;MATIAS CARDOSO;108039,06;-;10803,91;67;34;6739 
MG;MATIPÓ;108039,06;-;10803,91;152;76;15196 
MG;MATO VERDE;108039,06;-;10803,91;107;54;10656 
MG;MATOZINHOS;378823,79;-;16763,93;291;146;29063 
MG;MATUTINA;108039,06;-;10803,91;36;18;3572 
MG;MEDEIROS;108039,06;-;10803,91;31;16;3119 
MG;MEDINA;295306,45;-;14007,48;165;83;16477 
MG;MENDES PIMENTEL;108039,06;-;10803,91;54;27;5415 
MG;MERCÊS;108039,06;-;10803,91;85;43;8472 
MG;MESQUITA;283057,86;-;10803,91;56;28;5558 
MG;MINAS NOVAS;185177,64;-;13550,83;230;115;23033 
MG;MINDURI;108039,06;-;10803,91;34;17;3395 
MG;MIRABELA;108039,06;-;10803,91;112;56;11154 
MG;MIRADOURO;108039,06;-;10803,91;76;38;7645 
MG;MIRAÍ;108039,06;-;24494,53;106;53;10555 
MG;MIRAVÂNIA;108039,06;-;10803,91;41;21;4055 
MG;MOEDA;108039,06;-;10803,91;55;28;5462 
MG;MOEMA;108039,06;-;10803,91;66;33;6635 
MG;MONJOLOS;108039,06;-;19486,64;24;12;2417 
MG;MONSENHOR PAULO;108039,06;-;10803,91;68;34;6787 
MG;MONTALVÂNIA;108039,06;-;10803,91;132;66;13209 
MG;MONTE ALEGRE DE MINAS;138675,81;-;17794,75;155;78;15492 
MG;MONTE AZUL;147836,05;-;15489,79;179;90;17935 
MG;MONTE BELO;108039,06;-;10803,91;108;54;10807 
MG;MONTE CARMELO;318059,78;-;32754,90;306;153;35835 
MG;MONTE FORMOSO;108039,06;-;10803,91;45;23;4507 
MG;MONTE SANTO DE MINAS;108039,06;-;10803,91;173;87;17280 
MG;MONTE SIÃO;260856,86;-;41744,37;177;89;17659 
MG;MONTES CLAROS;2670380,34;801114,10;93290,54;532;266;262496 
MG;MONTEZUMA;108039,06;-;10803,91;56;28;5615 
MG;MORADA NOVA DE MINAS;308233,27;-;25007,39;75;38;7549 
MG;MORRO DA GARÇA;108039,06;-;10803,91;26;13;2647 
MG;MORRO DO PILAR;166512,07;-;10803,91;35;18;3450 
MG;MUNHOZ;108039,06;-;23967,20;61;31;6065 
MG;MURIAÉ;568068,72;-;39855,82;347;174;77046 
