;Ano;Turno;Localidade;Cargo;Nº;Candidato;Nome Urna;Partido / Coligação;Votação;Situação
;2016;1º Turno;ARARA;Prefeito;17;JOSÉ AILTON PEREIRA DA SILVA;NEN;PSL / O POVO FAZ A MUDANÇA;3.980;Eleito
;2016;1º Turno;ARARA;Vereador;14444;LUIZ SILVA SANTOS;PROFESSOR LUIZINHO;PTB / O POVO FAZ A MUDANÇA;528;Eleito por QP
;2016;1º Turno;ARARA;Vereador;55888;JOSE JAILSON DE SOUSA;JAILSON;PSD / O POVO FAZ A MUDANÇA;527;Eleito por QP
;2016;1º Turno;ARARA;Vereador;22222;JOSE ERENILDO OLIVEIRA DA COSTA;ERENILDO DO HOSPITAL;PR / O POVO FAZ A MUDANÇA;527;Eleito por QP
;2016;1º Turno;ARARA;Vereador;13333;EDNALDO FERNANDES DE ALMEIDA;NALDO;PT / O POVO FAZ A MUDANÇA;487;Eleito por QP
;2016;1º Turno;ARARA;Vereador;55555;MARIA DO CARMO SIMPLICIO DA SILVA;BIA;PSD / O POVO FAZ A MUDANÇA;425;Eleito por QP
;2016;1º Turno;ARARA;Vereador;15111;JOSINALDO CLEMENTINO DA SILVA;NALDINHO DE BASTINHO;PMDB / Vontade do povo, por uma Arara de todos;392;Eleito por QP
;2016;1º Turno;ARARA;Vereador;15555;MARLY PEREIRA DE MORAIS;MARLY DE TONY;PMDB / Vontade do povo, por uma Arara de todos;367;Eleito por QP
;2016;1º Turno;ARARA;Vereador;70999;ERIZONALDO CHIANCA DE MEDEIROS;ERIZONALDO, GORDO DE BUATEIRO;PT do B / O POVO FAZ A MUDANÇA;359;Eleito por média
;2016;1º Turno;ARARA;Vereador;15888;ANESIO DEODONIO MORENO;ANESIO MORENO;PMDB / Vontade do povo, por uma Arara de todos;327;Eleito por QP
;2016;1º Turno;ARARUNA;Prefeito;11;VITAL DA COSTA ARAÚJO;VITAL COSTA;PP / UNIDOS POR ARARUNA / UNIDOS POR ARARUNA I;5.860;Eleito
;2016;1º Turno;ARARUNA;Vereador;15606;FRANCISCO EDINALDO PONTES MARTINS;NALDO DE ZÉ DE NECO;PMDB / CONFIANÇA DO POVO;1.047;Eleito por QP
;2016;1º Turno;ARARUNA;Vereador;77777;JOSÉ RODOLFO DE LUCENA CORDEIRO;RODOLFO CORDEIRO;SD / CONFIANÇA DO POVO;971;Eleito por QP
;2016;1º Turno;ARARUNA;Vereador;55555;CAIO CESAR AZEVEDO LUDGERIO;CAIO LUDGERIO;PSD / UNIDOS POR ARARUNA / UNIDOS POR ARARUNA I;848;Eleito por QP
;2016;1º Turno;ARARUNA;Vereador;22123;FRANCISCO RAILTON NEVES PONTES;PEPETA;PR / UNIDOS POR ARARUNA / UNIDOS POR ARARUNA I;762;Eleito por QP
