"Abrangência";"Qt Aptos";"Qt Aptos Totalizados";"Comparecimento";"Abstenção";"Qt Seções";"Qt Seções Totalizadas"
"TUBARÃO";"74.424";"74.424";"64.125";"10.299";"195";"195"
"JUPIÁ";"1.873";"1.873";"1.738";"135";"5";"5"
"CORONEL EZEQUIEL";"4.880";"4.880";"4.413";"467";"15";"15"
"SÃO PEDRO DOS CRENTES";"3.693";"3.693";"3.327";"366";"11";"11"
"PEREIRO";"13.946";"13.946";"10.541";"3.405";"49";"49"
"LAJEADO";"55.609";"55.609";"48.525";"7.084";"160";"160"
"MINDURI";"3.201";"3.201";"2.850";"351";"15";"15"
"CAEM";"8.020";"8.020";"6.398";"1.622";"27";"27"
"MAXIMILIANO DE ALMEIDA";"4.246";"4.246";"3.985";"261";"18";"18"
"SÃO PEDRO DO IGUAÇU";"5.343";"5.343";"4.899";"444";"20";"20"
"INHUMA";"12.505";"12.505";"10.042";"2.463";"39";"39"
"MACAMBIRA";"5.285";"5.285";"5.078";"207";"16";"16"
"CAICÓ";"44.403";"44.403";"38.443";"5.960";"129";"129"
"ACARI";"9.711";"9.711";"8.405";"1.306";"29";"29"
"ITAGUARU";"5.003";"5.003";"4.734";"269";"18";"18"
"VIANÓPOLIS";"9.348";"9.348";"8.122";"1.226";"27";"27"
"ÁGUAS DE SANTA BÁRBARA";"5.065";"5.065";"4.136";"929";"15";"15"
"RUBIM";"6.791";"6.791";"5.701";"1.090";"24";"24"
"INHAMBUPE";"24.354";"24.354";"20.921";"3.433";"73";"73"
"ITAPEBI";"8.312";"8.312";"6.788";"1.524";"27";"27"
"AMARANTE";"14.396";"14.396";"11.349";"3.047";"58";"58"
"SÃO DOMINGOS DO AZEITÃO";"5.626";"5.626";"4.911";"715";"17";"17"
"SÃO SIMÃO";"25.482";"25.482";"21.785";"3.697";"75";"75"
"FORTALEZA";"1.612.155";"1.612.155";"1.353.953";"258.202";"4.156";"4.156"
"QUELUZ";"7.863";"7.863";"6.434";"1.429";"21";"21"
"PARAIBUNA";"14.016";"14.016";"11.566";"2.450";"37";"37"
"MARABÁ";"144.248";"144.248";"116.002";"28.246";"444";"444"
"CONSELHEIRO PENA";"16.572";"16.572";"13.155";"3.417";"59";"59"
"IBIRUBÁ";"15.921";"15.921";"14.111";"1.810";"53";"53"
"MOZARLÂNDIA";"10.609";"10.609";"9.083";"1.526";"35";"35"
"AREADO";"11.263";"11.263";"9.407";"1.856";"33";"33"
"NOVA IGUAÇU";"561.391";"561.391";"461.573";"99.818";"1.589";"1.589"
"ITAPURANGA";"20.818";"20.818";"18.263";"2.555";"68";"68"
"FORTALEZA DOS NOGUEIRAS";"9.527";"9.527";"8.245";"1.282";"30";"30"
"CANA VERDE";"4.615";"4.615";"4.221";"394";"13";"13"
"PAÇO DO LUMIAR";"47.422";"47.422";"43.768";"3.654";"169";"169"
"GOVERNADOR ARCHER";"7.556";"7.556";"6.321";"1.235";"33";"33"
"MATINHOS";"26.425";"26.425";"21.012";"5.413";"74";"74"
"CACIMBINHAS";"7.071";"7.071";"6.541";"530";"23";"23"
"CARANDAÍ";"18.895";"18.895";"17.094";"1.801";"58";"58"
"RIO DAS FLORES";"7.496";"7.496";"6.704";"792";"20";"20"
"ISAÍAS COELHO";"6.230";"6.230";"4.956";"1.274";"20";"20"
"RIBEIRÃO BONITO";"8.699";"8.699";"7.405";"1.294";"24";"24"
"DOMINGOS MARTINS";"27.139";"27.139";"23.012";"4.127";"82";"82"
"VANINI";"1.843";"1.843";"1.774";"69";"7";"7"
"NOSSA SENHORA DA GLÓRIA";"22.070";"22.070";"20.623";"1.447";"70";"70"
"NOVO PROGRESSO";"17.479";"17.479";"13.347";"4.132";"60";"60"
"ITAPIRATINS";"3.070";"3.070";"2.741";"329";"9";"9"
"MARCELÂNDIA";"9.249";"9.249";"7.014";"2.235";"22";"22"
"LIMEIRA DO OESTE";"5.138";"5.138";"4.775";"363";"17";"17"
"BOA VISTA DA APARECIDA";"6.710";"6.710";"5.768";"942";"29";"29"
"SANTO AMARO";"43.062";"43.062";"37.044";"6.018";"135";"135"
"CAMPO VERDE";"22.153";"22.153";"19.731";"2.422";"71";"71"
"ALTO PARANÁ";"10.112";"10.112";"8.664";"1.448";"32";"32"
"MORRETES";"14.720";"14.720";"12.167";"2.553";"46";"46"
"GUARAMIRIM";"25.912";"25.912";"23.071";"2.841";"73";"73"
"SÃO JOSÉ DE RIBAMAR";"91.033";"91.033";"75.629";"15.404";"262";"262"
"PRESIDENTE VARGAS";"9.374";"9.374";"8.021";"1.353";"37";"37"
"SÃO JOSÉ DA BELA VISTA";"7.465";"7.465";"6.308";"1.157";"20";"20"
"JERIQUARA";"3.340";"3.340";"2.839";"501";"10";"10"
"PEDRA MOLE";"2.779";"2.779";"2.678";"101";"10";"10"
"ABAIARA";"6.806";"6.806";"5.584";"1.222";"24";"24"
"JURIPIRANGA";"9.170";"9.170";"7.854";"1.316";"31";"31"
"AGUAÍ";"23.970";"23.970";"19.539";"4.431";"61";"61"
"PORTO REAL";"14.220";"14.220";"12.853";"1.367";"40";"40"
"ARVOREZINHA";"8.606";"8.606";"7.755";"851";"38";"38"
"TAMBAÚ";"17.111";"17.111";"14.101";"3.010";"43";"43"
"NOVA ERA";"14.814";"14.814";"11.956";"2.858";"48";"48"
"PINDAÍ";"11.913";"11.913";"9.912";"2.001";"40";"40"
"PIRAÍ DO NORTE";"5.500";"5.500";"4.862";"638";"20";"20"
"ÁGUA SANTA";"3.145";"3.145";"2.920";"225";"12";"12"
"FORMIGUEIRO";"6.298";"6.298";"5.679";"619";"20";"20"
"PINHEIRO";"54.283";"54.283";"42.025";"12.258";"173";"173"
"SANTA CRUZ DO ARARI";"6.753";"6.753";"5.762";"991";"20";"20"
"NOVA SANTA HELENA";"3.114";"3.114";"2.597";"517";"9";"9"
"ITIRAPINA";"10.044";"10.044";"8.282";"1.762";"29";"29"
"CÂNDIDO DE ABREU";"12.312";"12.312";"10.217";"2.095";"52";"52"
"SANTA CRUZ DOS MILAGRES";"3.482";"3.482";"2.825";"657";"10";"10"
"SANTO INÁCIO DO PIAUÍ";"3.285";"3.285";"2.815";"470";"12";"12"
"CASTRO";"50.160";"50.160";"42.224";"7.936";"159";"159"
"REALEZA";"13.044";"13.044";"11.199";"1.845";"47";"47"
"SÃO JOÃO DO CAIUÁ";"4.997";"4.997";"4.115";"882";"16";"16"
"ITACAJÁ";"5.611";"5.611";"4.999";"612";"20";"20"
"SÃO VALÉRIO DA NATIVIDADE";"3.894";"3.894";"3.168";"726";"13";"13"
"NOVA ITARANA";"5.526";"5.526";"4.618";"908";"20";"20"
"FLORESTÓPOLIS";"9.900";"9.900";"8.379";"1.521";"34";"34"
"ANTONIO OLINTO";"6.284";"6.284";"5.769";"515";"21";"21"
"ESPÍRITO SANTO";"7.640";"7.640";"6.553";"1.087";"24";"24"
"BARRA DE SÃO MIGUEL";"9.734";"9.734";"9.100";"634";"33";"33"
"BODOQUENA";"6.808";"6.808";"5.608";"1.200";"23";"23"
"SÃO JOSÉ DA TAPERA";"17.017";"17.017";"15.086";"1.931";"56";"56"
"BRASILÂNDIA DO TOCANTINS";"1.839";"1.839";"1.720";"119";"8";"8"
"MONTE SIÃO";"16.499";"16.499";"14.139";"2.360";"45";"45"
"MANDIRITUBA";"17.304";"17.304";"15.159";"2.145";"53";"53"
"RIBEIRA DO PIAUÍ";"3.555";"3.555";"2.973";"582";"12";"12"
"CAMPO REDONDO";"7.849";"7.849";"7.009";"840";"24";"24"
"MANOEL EMÍDIO";"4.477";"4.477";"3.717";"760";"15";"15"
"JERUMENHA";"4.394";"4.394";"3.714";"680";"15";"15"
"JANDUÍS";"4.513";"4.513";"4.141";"372";"15";"15"
"COTRIGUAÇU";"9.100";"9.100";"7.321";"1.779";"37";"37"
"VARGEM BONITA";"6.243";"6.243";"5.814";"429";"20";"20"
"BOM JESUS DA LAPA";"44.634";"44.634";"33.458";"11.176";"138";"138"
"GOVERNADOR MANGABEIRA";"16.348";"16.348";"13.368";"2.980";"50";"50"
"MORRO DO CHAPÉU DO PIAUÍ";"5.910";"5.910";"4.487";"1.423";"18";"18"
"PEDRA LAVRADA";"5.988";"5.988";"5.513";"475";"21";"21"
"ÁGUA FRIA";"11.792";"11.792";"10.005";"1.787";"37";"37"
"FRANCISCO AYRES";"4.474";"4.474";"3.723";"751";"18";"18"
"CONCEIÇÃO DO ARAGUAIA";"32.329";"32.329";"25.269";"7.060";"107";"107"
"CAMPOS DE JÚLIO";"4.199";"4.199";"3.406";"793";"10";"10"
"URU";"1.485";"1.485";"1.351";"134";"4";"4"
"SÃO MATEUS DO SUL";"31.040";"31.040";"27.090";"3.950";"100";"100"
"SAIRÉ";"11.012";"11.012";"9.827";"1.185";"40";"40"
"EUSÉBIO";"30.318";"30.318";"28.586";"1.732";"98";"98"
"TAQUARAL";"2.262";"2.262";"1.987";"275";"6";"6"
"TANQUINHO";"6.303";"6.303";"5.684";"619";"18";"18"
"TAQUARA";"40.326";"40.326";"34.374";"5.952";"127";"127"
"MORENO";"43.451";"43.451";"36.873";"6.578";"120";"120"
"RIO DO FOGO";"11.108";"11.108";"9.562";"1.546";"33";"33"
"ATALANTA";"2.868";"2.868";"2.702";"166";"7";"7"
"SANTA VITÓRIA";"14.866";"14.866";"13.215";"1.651";"51";"51"
"POMPÉU";"21.977";"21.977";"18.739";"3.238";"59";"59"
"BARRA";"34.119";"34.119";"25.978";"8.141";"121";"121"
"ALVORADA DO SUL";"6.766";"6.766";"6.140";"626";"25";"25"
"CORONEL FREITAS";"8.185";"8.185";"7.516";"669";"32";"32"
"PARANÃ";"7.898";"7.898";"6.510";"1.388";"24";"24"
"FERNANDÓPOLIS";"49.986";"49.986";"40.126";"9.860";"127";"127"
"TURIÚBA";"1.704";"1.704";"1.547";"157";"6";"6"
"AMÉRICA DOURADA";"12.453";"12.453";"9.481";"2.972";"40";"40"
"CAETANOS";"9.356";"9.356";"7.313";"2.043";"26";"26"
"ARENÁPOLIS";"7.675";"7.675";"6.250";"1.425";"20";"20"
"GONÇALVES";"3.673";"3.673";"3.167";"506";"10";"10"
"SEABRA";"28.366";"28.366";"23.931";"4.435";"102";"102"
"SINIMBU";"8.124";"8.124";"7.244";"880";"33";"33"
"BREJO DO PIAUÍ";"3.590";"3.590";"2.876";"714";"9";"9"
"PRESIDENTE SARNEY";"13.008";"13.008";"10.374";"2.634";"46";"46"
"PACATUBA";"52.057";"52.057";"45.838";"6.219";"161";"161"
"CERQUILHO";"29.701";"29.701";"25.081";"4.620";"84";"84"
"ITALVA";"10.925";"10.925";"9.667";"1.258";"42";"42"
"GONGOGI";"6.613";"6.613";"4.342";"2.271";"21";"21"
"RIOZINHO";"4.027";"4.027";"3.736";"291";"14";"14"
"BOA VISTA DO SUL";"2.538";"2.538";"2.414";"124";"17";"17"
"ITACURUBI";"3.004";"3.004";"2.603";"401";"16";"16"
"NOVA TEBAS";"5.795";"5.795";"4.953";"842";"22";"22"
"CONFRESA";"16.982";"16.982";"13.452";"3.530";"49";"49"
"RINCÃO";"7.997";"7.997";"6.597";"1.400";"26";"26"
"CHAPADA DA NATIVIDADE";"3.034";"3.034";"2.524";"510";"11";"11"
"CLÁUDIO";"19.146";"19.146";"16.806";"2.340";"59";"59"
"SANTO ANTÔNIO DO RETIRO";"5.653";"5.653";"4.573";"1.080";"22";"22"
"FIGUEIRA";"6.940";"6.940";"5.660";"1.280";"23";"23"
"ITUPIRANGA";"32.447";"32.447";"24.958";"7.489";"99";"99"
"TUCUMÃ";"23.539";"23.539";"19.634";"3.905";"64";"64"
"TEIXEIRA";"10.398";"10.398";"8.656";"1.742";"35";"35"
"UBATUBA";"60.967";"60.967";"48.459";"12.508";"187";"187"
"PANELAS";"21.128";"21.128";"15.507";"5.621";"65";"65"
"ALFREDO WAGNER";"7.363";"7.363";"6.992";"371";"26";"26"
"IPANGUAÇU";"13.164";"13.164";"12.126";"1.038";"36";"36"
"LAGOA DE VELHOS";"3.426";"3.426";"2.981";"445";"10";"10"
"RESERVA DO IGUAÇU";"5.685";"5.685";"4.767";"918";"21";"21"
"DOUTOR PEDRINHO";"2.763";"2.763";"2.602";"161";"9";"9"
"TRINDADE DO SUL";"4.669";"4.669";"4.414";"255";"15";"15"
"SÃO BORJA";"49.165";"49.165";"38.337";"10.828";"150";"150"
"DONA FRANCISCA";"3.285";"3.285";"3.111";"174";"11";"11"
"NAZARÉ DO PIAUÍ";"6.584";"6.584";"5.316";"1.268";"22";"22"
"BURITI ALEGRE";"7.261";"7.261";"6.515";"746";"32";"32"
"MONTE MOR";"36.754";"36.754";"30.203";"6.551";"105";"105"
"JOANÓPOLIS";"9.234";"9.234";"7.616";"1.618";"25";"25"
"BASTOS";"17.253";"17.253";"14.068";"3.185";"47";"47"
"JURAMENTO";"4.556";"4.556";"4.176";"380";"13";"13"
"IBATÉ";"23.773";"23.773";"20.163";"3.610";"68";"68"
"CORONEL MURTA";"6.866";"6.866";"5.836";"1.030";"25";"25"
"SEBERI";"8.532";"8.532";"7.954";"578";"38";"38"
"PARANÁ";"3.551";"3.551";"3.155";"396";"11";"11"
"CUITEGI";"5.740";"5.740";"4.583";"1.157";"15";"15"
"NOVA LIMA";"59.742";"59.742";"52.088";"7.654";"174";"174"
"BOTUMIRIM";"5.210";"5.210";"4.187";"1.023";"15";"15"
"SUSSUAPARA";"5.490";"5.490";"5.005";"485";"15";"15"
"NOVA VENÉCIA";"35.211";"35.211";"28.940";"6.271";"125";"125"
"BARUERI";"214.474";"214.474";"182.661";"31.813";"555";"555"
"GUIDOVAL";"6.462";"6.462";"5.711";"751";"23";"23"
"PONTE PRETA";"1.764";"1.764";"1.706";"58";"8";"8"
"PASSO DO SOBRADO";"4.909";"4.909";"4.608";"301";"18";"18"
"IVATUBA";"2.644";"2.644";"2.140";"504";"10";"10"
"BARRAS";"32.622";"32.622";"25.966";"6.656";"103";"103"
"GUAIÚBA";"18.397";"18.397";"15.856";"2.541";"58";"58"
"NOVA RUSSAS";"23.482";"23.482";"18.132";"5.350";"89";"89"
"PARIQUERA-AÇU";"15.121";"15.121";"11.817";"3.304";"43";"43"
"BELO ORIENTE";"18.277";"18.277";"15.541";"2.736";"55";"55"
"XAMBRÊ";"5.081";"5.081";"4.536";"545";"20";"20"
"CARMO DO CAJURU";"16.195";"16.195";"14.141";"2.054";"48";"48"
"PARAÍ";"5.681";"5.681";"5.356";"325";"19";"19"
"BARRA DO RIBEIRO";"10.375";"10.375";"8.654";"1.721";"29";"29"
"BELA VISTA DA CAROBA";"3.241";"3.241";"2.968";"273";"15";"15"
"PALHOÇA";"92.871";"92.871";"81.334";"11.537";"250";"250"
"BARRA D'ALCÂNTARA";"3.128";"3.128";"2.630";"498";"11";"11"
"MONTE ALEGRE";"58.460";"58.460";"46.994";"11.466";"221";"221"
"RIO BRILHANTE";"22.116";"22.116";"19.188";"2.928";"60";"60"
"ANDRELÂNDIA";"9.685";"9.685";"7.968";"1.717";"33";"33"
"BERNARDINO BATISTA";"2.587";"2.587";"2.268";"319";"9";"9"
"ITAPORÃ";"13.423";"13.423";"11.888";"1.535";"41";"41"
"ENGENHEIRO COELHO";"12.176";"12.176";"10.098";"2.078";"30";"30"
"CONCEIÇÃO DOS OUROS";"8.428";"8.428";"7.576";"852";"30";"30"
"CORDISBURGO";"7.032";"7.032";"5.856";"1.176";"23";"23"
"ITAMBÉ DO MATO DENTRO";"2.398";"2.398";"2.193";"205";"9";"9"
"CERES";"15.332";"15.332";"13.844";"1.488";"50";"50"
"BOM LUGAR";"10.351";"10.351";"8.282";"2.069";"41";"41"
"ITINGA DO MARANHÃO";"17.473";"17.473";"13.801";"3.672";"56";"56"
"ANAJÁS";"16.402";"16.402";"13.402";"3.000";"55";"55"
"FRANCISCO SANTOS";"6.720";"6.720";"6.426";"294";"24";"24"
"SÃO JOÃO DA PONTA";"5.392";"5.392";"4.847";"545";"17";"17"
"BAIÃO";"21.810";"21.810";"18.497";"3.313";"82";"82"
"MARABÁ PAULISTA";"3.707";"3.707";"3.251";"456";"10";"10"
"SERRANIA";"6.456";"6.456";"5.346";"1.110";"17";"17"
"SANTO AUGUSTO";"11.528";"11.528";"9.997";"1.531";"37";"37"
"TANGARÁ DA SERRA";"59.695";"59.695";"46.650";"13.045";"165";"165"
"IPIRANGA DE GOIÁS";"2.869";"2.869";"2.627";"242";"8";"8"
"ANANÁS";"7.150";"7.150";"5.846";"1.304";"27";"27"
"BAIXA GRANDE";"15.171";"15.171";"12.409";"2.762";"56";"56"
"SÃO SEBASTIÃO DO CAÍ";"18.547";"18.547";"16.218";"2.329";"53";"53"
"IGUARAÇU";"3.352";"3.352";"3.056";"296";"10";"10"
"SIDERÓPOLIS";"11.057";"11.057";"9.840";"1.217";"30";"30"
"GALVÃO";"3.068";"3.068";"2.784";"284";"10";"10"
"UNIÃO DO OESTE";"2.523";"2.523";"2.437";"86";"10";"10"
"CAMPOS SALES";"20.351";"20.351";"15.874";"4.477";"80";"80"
"CATINGUEIRA";"4.162";"4.162";"3.550";"612";"15";"15"
"PALMEIRÓPOLIS";"5.215";"5.215";"4.476";"739";"21";"21"
"LAGOA BONITA DO SUL";"2.329";"2.329";"2.238";"91";"13";"13"
"LAPA";"35.327";"35.327";"30.579";"4.748";"121";"121"
"ENTRE-IJUÍS";"7.454";"7.454";"6.636";"818";"29";"29"
"RIO BRANCO DO SUL";"23.892";"23.892";"21.441";"2.451";"77";"77"
"BARREIRAS DO PIAUÍ";"3.228";"3.228";"2.843";"385";"11";"11"
"SÃO JOÃO DA PARAÚNA";"2.007";"2.007";"1.844";"163";"6";"6"
"SENADOR ALEXANDRE COSTA";"6.885";"6.885";"5.704";"1.181";"23";"23"
"MASSARANDUBA";"22.227";"22.227";"19.754";"2.473";"68";"68"
"ANAMÃ";"6.478";"6.478";"5.434";"1.044";"19";"19"
"PINDORAMA";"11.407";"11.407";"9.624";"1.783";"33";"33"
"SANTA MARIA DA BOA VISTA";"27.274";"27.274";"22.955";"4.319";"80";"80"
"CRUZALTENSE";"2.108";"2.108";"2.022";"86";"11";"11"
"LAURENTINO";"5.093";"5.093";"4.843";"250";"17";"17"
"SERRA ALTA";"2.650";"2.650";"2.524";"126";"9";"9"
"CORONEL JOSÉ DIAS";"4.659";"4.659";"4.117";"542";"20";"20"
"MONTES CLAROS DE GOIÁS";"6.484";"6.484";"5.618";"866";"22";"22"
"BOA VISTA DO RAMOS";"9.752";"9.752";"7.936";"1.816";"28";"28"
"IPORÃ DO OESTE";"6.539";"6.539";"6.115";"424";"26";"26"
"TIJUCAS";"24.238";"24.238";"21.047";"3.191";"70";"70"
"BARRA VELHA";"17.027";"17.027";"14.358";"2.669";"45";"45"
"MIGUEL ALVES";"24.302";"24.302";"18.749";"5.553";"93";"93"
"BAIXA GRANDE DO RIBEIRO";"7.567";"7.567";"6.925";"642";"23";"23"
"SÃO FRANCISCO DO MARANHÃO";"9.042";"9.042";"7.169";"1.873";"30";"30"
"CANUTAMA";"7.079";"7.079";"5.612";"1.467";"23";"23"
"PONTE ALTA DO BOM JESUS";"3.498";"3.498";"3.126";"372";"11";"11"
"BARIRI";"23.923";"23.923";"18.959";"4.964";"61";"61"
"VÁRZEA DA PALMA";"27.315";"27.315";"22.186";"5.129";"80";"80"
"SÃO JORGE DO PATROCÍNIO";"4.867";"4.867";"4.527";"340";"14";"14"
"HEITORAÍ";"3.734";"3.734";"3.437";"297";"9";"9"
"CARIRÉ";"15.387";"15.387";"12.731";"2.656";"60";"60"
"TEIXEIRÓPOLIS";"4.277";"4.277";"3.539";"738";"13";"13"
"GIRUÁ";"13.177";"13.177";"11.692";"1.485";"40";"40"
"OROCÓ";"11.112";"11.112";"9.411";"1.701";"35";"35"
"PACAJÁ";"23.823";"23.823";"18.936";"4.887";"74";"74"
"SÃO JOSÉ DE PRINCESA";"3.573";"3.573";"2.745";"828";"14";"14"
"CONCEIÇÃO DO JACUÍPE";"20.898";"20.898";"18.306";"2.592";"64";"64"
"LAGOA GRANDE";"24.624";"24.624";"20.997";"3.627";"74";"74"
"CANHOTINHO";"18.744";"18.744";"14.127";"4.617";"60";"60"
"CEREJEIRAS";"13.786";"13.786";"10.846";"2.940";"44";"44"
"SÃO FÉLIX DO TOCANTINS";"1.252";"1.252";"1.192";"60";"5";"5"
"MAZAGÃO";"12.982";"12.982";"11.182";"1.800";"47";"47"
"FREI ROGÉRIO";"2.289";"2.289";"2.081";"208";"8";"8"
"IATI";"15.181";"15.181";"10.993";"4.188";"44";"44"
"VIDAL RAMOS";"4.829";"4.829";"4.558";"271";"17";"17"
"GOVERNADOR EUGÊNIO BARROS";"11.246";"11.246";"9.180";"2.066";"42";"42"
"ISRAELÂNDIA";"2.850";"2.850";"2.597";"253";"10";"10"
"ALIANÇA";"22.644";"22.644";"21.148";"1.496";"82";"82"
"MATHIAS LOBATO";"3.222";"3.222";"2.754";"468";"16";"16"
"FIRMINO ALVES";"4.280";"4.280";"3.740";"540";"14";"14"
"CARIRIAÇU";"23.591";"23.591";"18.439";"5.152";"88";"88"
"NAZARÉ PAULISTA";"13.475";"13.475";"10.991";"2.484";"39";"39"
"LAMBARI D'OESTE";"4.768";"4.768";"3.900";"868";"13";"13"
"NOVO LINO";"8.100";"8.100";"7.471";"629";"25";"25"
"PEDRO DE TOLEDO";"8.166";"8.166";"6.241";"1.925";"23";"23"
"NOVA GUATAPORANGA";"1.894";"1.894";"1.738";"156";"10";"10"
"TAMANDARÉ";"14.288";"14.288";"13.047";"1.241";"46";"46"
"LINS";"54.643";"54.643";"42.640";"12.003";"151";"151"
"BUGRE";"4.501";"4.501";"4.134";"367";"15";"15"
"SÃO GONÇALO DO PARÁ";"7.792";"7.792";"6.988";"804";"22";"22"
"ANGELINA";"4.822";"4.822";"4.596";"226";"20";"20"
"SENADOR MODESTINO GONÇALVES";"4.716";"4.716";"3.871";"845";"16";"16"
"SÃO JOSÉ DOS PINHAIS";"178.151";"178.151";"153.170";"24.981";"491";"491"
"AGRICOLÂNDIA";"4.834";"4.834";"4.048";"786";"17";"17"
"MATÃO";"61.084";"61.084";"51.697";"9.387";"174";"174"
"URUCÂNIA";"8.391";"8.391";"7.072";"1.319";"25";"25"
"SARZEDO";"16.928";"16.928";"15.129";"1.799";"50";"50"
"ANTÔNIO CARDOSO";"10.169";"10.169";"9.187";"982";"31";"31"
"CONGONHINHAS";"6.653";"6.653";"5.761";"892";"21";"21"
"LENÇÓIS PAULISTA";"45.377";"45.377";"37.927";"7.450";"129";"129"
"ENCANTADO";"16.574";"16.574";"14.679";"1.895";"53";"53"
"ARROIO DOS RATOS";"10.746";"10.746";"8.869";"1.877";"34";"34"
"MORMAÇO";"2.643";"2.643";"2.545";"98";"7";"7"
"DIVINO DAS LARANJEIRAS";"4.253";"4.253";"3.842";"411";"14";"14"
"PINHEIRINHO DO VALE";"3.382";"3.382";"3.193";"189";"14";"14"
"PUXINANÃ";"10.748";"10.748";"9.494";"1.254";"31";"31"
"SALTO DE PIRAPORA";"27.807";"27.807";"23.011";"4.796";"68";"68"
"IGARAPAVA";"21.973";"21.973";"17.575";"4.398";"59";"59"
"CÔNEGO MARINHO";"5.558";"5.558";"4.654";"904";"26";"26"
"IVOLÂNDIA";"3.031";"3.031";"2.802";"229";"10";"10"
"PEDRO GOMES";"6.293";"6.293";"5.285";"1.008";"22";"22"
"MACHADO";"28.507";"28.507";"23.971";"4.536";"82";"82"
"ARROIO GRANDE";"15.906";"15.906";"13.489";"2.417";"48";"48"
"CAMBARÁ DO SUL";"5.682";"5.682";"4.979";"703";"21";"21"
"VIRGINÓPOLIS";"8.075";"8.075";"6.591";"1.484";"26";"26"
"DESCOBERTO";"4.378";"4.378";"3.930";"448";"12";"12"
"PATROCÍNIO";"60.677";"60.677";"51.147";"9.530";"196";"196"
"LAPÃO";"20.683";"20.683";"16.807";"3.876";"73";"73"
"SANANDUVA";"12.238";"12.238";"11.296";"942";"48";"48"
"XANGRI-LÁ";"9.267";"9.267";"8.341";"926";"27";"27"
"SANTANA DO CARIRI";"13.875";"13.875";"11.039";"2.836";"48";"48"
"CAJAPIÓ";"7.689";"7.689";"7.057";"632";"23";"23"
"MAURILÂNDIA DO TOCANTINS";"2.890";"2.890";"2.473";"417";"9";"9"
"SÃO BRÁS";"4.934";"4.934";"4.640";"294";"13";"13"
"ADAMANTINA";"27.439";"27.439";"21.667";"5.772";"74";"74"
"REGINÓPOLIS";"4.545";"4.545";"4.009";"536";"12";"12"
"ARACITABA";"2.262";"2.262";"2.135";"127";"7";"7"
"VERA CRUZ";"65.507";"65.507";"55.468";"10.039";"192";"192"
"COLORADO";"21.881";"21.881";"18.772";"3.109";"66";"66"
"MARILÂNDIA DO SUL";"7.159";"7.159";"6.306";"853";"30";"30"
"BREJO GRANDE";"5.515";"5.515";"5.189";"326";"19";"19"
"TROMBAS";"3.092";"3.092";"2.704";"388";"11";"11"
"DAVINÓPOLIS";"12.661";"12.661";"10.708";"1.953";"35";"35"
"FARO";"6.208";"6.208";"5.272";"936";"19";"19"
"ITUPEVA";"31.426";"31.426";"28.528";"2.898";"107";"107"
"ARAÇOIABA DA SERRA";"20.289";"20.289";"17.212";"3.077";"57";"57"
"PAINEIRAS";"4.310";"4.310";"3.817";"493";"15";"15"
"JAGUARARI";"21.004";"21.004";"18.043";"2.961";"85";"85"
"CAIBATÉ";"4.052";"4.052";"3.756";"296";"14";"14"
"CERRO GRANDE DO SUL";"7.204";"7.204";"6.565";"639";"21";"21"
"NOSSA SENHORA DAS DORES";"17.367";"17.367";"16.464";"903";"64";"64"
"TAUÁ";"43.944";"43.944";"35.047";"8.897";"167";"167"
"DIVINÓPOLIS DO TOCANTINS";"4.705";"4.705";"4.510";"195";"20";"20"
"BURITIRANA";"9.801";"9.801";"8.029";"1.772";"35";"35"
"BAGRE";"11.753";"11.753";"9.663";"2.090";"34";"34"
"SÃO DOMINGOS DO CARIRI";"2.343";"2.343";"2.245";"98";"7";"7"
"CONCEIÇÃO DA BARRA";"22.395";"22.395";"17.042";"5.353";"62";"62"
"IBIARA";"5.150";"5.150";"4.482";"668";"19";"19"
"PRESIDENTE KENNEDY";"13.173";"13.173";"11.984";"1.189";"46";"46"
"ACAIACA";"3.514";"3.514";"2.906";"608";"13";"13"
"FRANCISCO ALVES";"5.059";"5.059";"4.631";"428";"18";"18"
"MONSENHOR TABOSA";"14.559";"14.559";"11.133";"3.426";"53";"53"
"PASSIRA";"25.644";"25.644";"20.938";"4.706";"72";"72"
"CAMPOS NOVOS";"25.038";"25.038";"21.093";"3.945";"75";"75"
"RIACHO FRIO";"4.190";"4.190";"3.629";"561";"13";"13"
"PROFESSOR JAMIL";"3.417";"3.417";"2.998";"419";"9";"9"
"PIRAPORA DO BOM JESUS";"10.858";"10.858";"9.478";"1.380";"29";"29"
"SIMÕES FILHO";"75.176";"75.176";"64.059";"11.117";"215";"215"
"VIÇOSA";"72.266";"72.266";"61.508";"10.758";"219";"219"
"OLHO D'ÁGUA DAS CUNHÃS";"14.126";"14.126";"11.207";"2.919";"48";"48"
"MARANGUAPE";"71.430";"71.430";"62.423";"9.007";"229";"229"
"VARGEM ALTA";"14.440";"14.440";"12.428";"2.012";"47";"47"
"ARAGOMINAS";"4.645";"4.645";"3.802";"843";"18";"18"
"TERRA NOVA";"16.861";"16.861";"15.406";"1.455";"60";"60"
"CONDADO";"24.621";"24.621";"20.224";"4.397";"69";"69"
"PROPRIÁ";"18.259";"18.259";"16.961";"1.298";"64";"64"
"SANTA FÉ DE GOIÁS";"4.383";"4.383";"3.830";"553";"13";"13"
"TELÊMACO BORBA";"49.913";"49.913";"40.781";"9.132";"144";"144"
